epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
14,36.0368,1.09389,2.21292,1.48547,0.59742,0.86667,0.888,0.62728,1.66023,1.10099,1.36139,1.3479e-05,1.3479e-05,1.3479e-05
15,37.8059,0.95686,1.64722,1.14317,0.60101,0.86667,0.8881,0.62735,1.6595,1.1084,1.36245,1.43509e-05,1.43509e-05,1.43509e-05
16,41.1069,1.22164,2.47908,1.62534,0.77696,0.65,0.87861,0.62307,1.67211,1.12961,1.37259,1.51993e-05,1.51993e-05,1.51993e-05
17,42.899,0.82353,1.82871,1.18148,0.76847,0.65,0.87331,0.62663,1.67173,1.13844,1.37502,1.60241e-05,1.60241e-05,1.60241e-05
18,44.6557,1.14751,1.57243,1.36034,0.76847,0.65,0.87331,0.62663,1.67173,1.13844,1.37502,1.68253e-05,1.68253e-05,1.68253e-05
19,46.4488,0.97433,1.94082,1.13788,0.76287,0.65,0.86221,0.61559,1.68202,1.17913,1.38596,1.7603e-05,1.7603e-05,1.7603e-05
20,48.1696,0.86194,1.50539,1.18934,0.76287,0.65,0.86221,0.61559,1.68202,1.17913,1.38596,1.83571e-05,1.83571e-05,1.83571e-05
21,49.9612,1.26887,2.58423,1.68092,0.75782,0.65,0.85518,0.61429,1.70137,1.21372,1.39782,1.90876e-05,1.90876e-05,1.90876e-05
22,51.6819,1.07299,2.35934,1.50543,0.75782,0.65,0.85518,0.61429,1.70137,1.21372,1.39782,1.97946e-05,1.97946e-05,1.97946e-05
23,53.4862,1.04404,1.88867,1.47019,0.7334,0.65,0.85526,0.6193,1.69403,1.23126,1.39024,2.0478e-05,2.0478e-05,2.0478e-05
24,55.2145,1.05927,2.20528,1.49049,0.7334,0.65,0.85526,0.6193,1.69403,1.23126,1.39024,2.11379e-05,2.11379e-05,2.11379e-05
25,57.7229,0.85469,1.48188,1.22197,0.70576,0.67229,0.85556,0.61089,1.71254,1.28386,1.40329,2.17741e-05,2.17741e-05,2.17741e-05
26,59.4851,1.1304,1.84475,1.44798,0.70576,0.67229,0.85556,0.61089,1.71254,1.28386,1.40329,2.23869e-05,2.23869e-05,2.23869e-05
27,61.2686,0.90987,1.74951,1.40025,0.69307,0.67682,0.85599,0.61129,1.7186,1.32012,1.40507,2.2976e-05,2.2976e-05,2.2976e-05
28,63.016,0.814,1.26362,1.15619,0.69307,0.67682,0.85599,0.61129,1.7186,1.32012,1.40507,2.35417e-05,2.35417e-05,2.35417e-05
29,64.7881,0.99515,1.51676,1.27472,0.68719,0.67854,0.85533,0.60864,1.70094,1.32333,1.39358,2.40837e-05,2.40837e-05,2.40837e-05
30,66.5219,1.28809,2.33646,1.62375,0.68719,0.67854,0.85533,0.60864,1.70094,1.32333,1.39358,2.46022e-05,2.46022e-05,2.46022e-05
31,68.3671,1.01177,1.44092,1.32514,0.67257,0.66667,0.85353,0.6107,1.71736,1.36024,1.4059,2.50971e-05,2.50971e-05,2.50971e-05
32,70.0887,0.85974,1.31555,1.23501,0.67257,0.66667,0.85353,0.6107,1.71736,1.36024,1.4059,2.55685e-05,2.55685e-05,2.55685e-05
33,71.8403,0.85509,1.30839,1.40201,0.65285,0.7,0.76953,0.53395,1.71053,1.39722,1.40586,2.60163e-05,2.60163e-05,2.60163e-05
34,73.8629,1.02767,1.24956,1.29161,0.65285,0.7,0.76953,0.53395,1.71053,1.39722,1.40586,2.64405e-05,2.64405e-05,2.64405e-05
35,75.644,0.89787,2.18023,1.31171,0.65998,0.7,0.76991,0.5187,1.70462,1.42413,1.40082,2.68412e-05,2.68412e-05,2.68412e-05
36,77.3901,0.90084,1.54592,1.17568,0.65998,0.7,0.76991,0.5187,1.70462,1.42413,1.40082,2.72183e-05,2.72183e-05,2.72183e-05
37,79.1553,0.76557,1.05538,1.15326,0.66597,0.7,0.76976,0.5104,1.69011,1.44637,1.39893,2.75718e-05,2.75718e-05,2.75718e-05
38,80.863,0.48282,0.72749,0.98084,0.66597,0.7,0.76976,0.5104,1.69011,1.44637,1.39893,2.79018e-05,2.79018e-05,2.79018e-05
39,82.6701,0.62383,0.90944,1.00523,0.67366,0.69421,0.76946,0.50368,1.66011,1.47885,1.38562,2.82082e-05,2.82082e-05,2.82082e-05
40,84.4081,0.80076,0.8244,1.16413,0.67366,0.69421,0.76946,0.50368,1.66011,1.47885,1.38562,2.84911e-05,2.84911e-05,2.84911e-05
41,86.1838,0.7299,0.9022,1.04904,0.67187,0.66427,0.74235,0.47928,1.62711,1.50078,1.36966,2.87504e-05,2.87504e-05,2.87504e-05
42,87.972,0.88766,1.9107,1.27044,0.67187,0.66427,0.74235,0.47928,1.62711,1.50078,1.36966,2.89861e-05,2.89861e-05,2.89861e-05
43,89.8105,0.83802,1.25152,1.22846,0.66978,0.65,0.72537,0.45138,1.66027,1.56748,1.3939,2.91983e-05,2.91983e-05,2.91983e-05
44,91.6062,1.05134,0.9712,1.43458,0.66978,0.65,0.72537,0.45138,1.66027,1.56748,1.3939,2.93869e-05,2.93869e-05,2.93869e-05
45,93.47,0.63153,0.92245,0.99883,0.68414,0.65,0.70408,0.43634,1.6567,1.57731,1.39612,2.9552e-05,2.9552e-05,2.9552e-05
46,95.2687,0.80411,1.00986,1.22277,0.68414,0.65,0.70408,0.43634,1.6567,1.57731,1.39612,2.96935e-05,2.96935e-05,2.96935e-05
47,97.0249,0.81267,1.44376,1.31239,0.70981,0.65,0.69898,0.43182,1.65734,1.62529,1.40127,2.98114e-05,2.98114e-05,2.98114e-05
48,98.7845,0.85691,1.61903,1.20506,0.70981,0.65,0.69898,0.43182,1.65734,1.62529,1.40127,2.99058e-05,2.99058e-05,2.99058e-05
49,100.627,0.66566,0.70015,1.25164,0.74797,0.65,0.69701,0.4298,1.66695,1.64158,1.40599,2.99766e-05,2.99766e-05,2.99766e-05
50,102.787,0.78203,0.78858,1.28673,0.74797,0.65,0.69701,0.4298,1.66695,1.64158,1.40599,3.00238e-05,3.00238e-05,3.00238e-05
51,104.883,0.82633,0.86365,1.12389,0.75825,0.65,0.69301,0.42659,1.63964,1.65691,1.39819,3.00475e-05,3.00475e-05,3.00475e-05
52,106.851,0.93422,0.96087,1.31323,0.75825,0.65,0.69301,0.42659,1.63964,1.65691,1.39819,3.00476e-05,3.00476e-05,3.00476e-05
53,108.867,0.6511,0.70965,1.18009,0.75825,0.65,0.69301,0.42659,1.63964,1.65691,1.39819,3.00242e-05,3.00242e-05,3.00242e-05
54,111.231,0.82664,0.94945,1.26935,0.72229,0.65,0.68047,0.41486,1.63633,1.72532,1.40626,2.99772e-05,2.99772e-05,2.99772e-05
55,112.996,0.78652,0.92531,1.11966,0.72229,0.65,0.68047,0.41486,1.63633,1.72532,1.40626,2.99066e-05,2.99066e-05,2.99066e-05
56,114.718,1.15871,1.42022,1.63166,0.72229,0.65,0.68047,0.41486,1.63633,1.72532,1.40626,2.98125e-05,2.98125e-05,2.98125e-05
57,116.483,0.92564,1.5214,1.36615,0.70714,0.6795,0.68239,0.3989,1.65604,1.74919,1.42054,2.96948e-05,2.96948e-05,2.96948e-05
58,118.269,0.8583,1.4917,1.27191,0.70714,0.6795,0.68239,0.3989,1.65604,1.74919,1.42054,2.95535e-05,2.95535e-05,2.95535e-05
59,120.087,0.78577,0.81825,1.15814,0.70714,0.6795,0.68239,0.3989,1.65604,1.74919,1.42054,2.93887e-05,2.93887e-05,2.93887e-05
60,121.903,0.93394,0.83013,1.51739,0.73982,0.51667,0.68456,0.40069,1.67999,1.77699,1.44219,2.92003e-05,2.92003e-05,2.92003e-05
61,123.657,0.64678,0.68596,1.06301,0.73982,0.51667,0.68456,0.40069,1.67999,1.77699,1.44219,2.89884e-05,2.89884e-05,2.89884e-05
62,125.394,0.71018,0.90629,1.0525,0.73982,0.51667,0.68456,0.40069,1.67999,1.77699,1.44219,2.87529e-05,2.87529e-05,2.87529e-05
63,127.379,0.79218,0.8585,1.16714,0.82322,0.48585,0.68299,0.40131,1.66032,1.82775,1.44429,2.84938e-05,2.84938e-05,2.84938e-05
64,129.295,0.62462,0.64121,1.06689,0.82322,0.48585,0.68299,0.40131,1.66032,1.82775,1.44429,2.82112e-05,2.82112e-05,2.82112e-05
65,131.155,0.69066,0.69969,1.23919,0.82322,0.48585,0.68299,0.40131,1.66032,1.82775,1.44429,2.7905e-05,2.7905e-05,2.7905e-05
66,132.96,0.69656,0.9597,1.09117,0.81631,0.48619,0.60047,0.3329,1.68833,1.8868,1.44865,2.75753e-05,2.75753e-05,2.75753e-05
67,134.778,0.73436,1.13827,1.10331,0.81631,0.48619,0.60047,0.3329,1.68833,1.8868,1.44865,2.7222e-05,2.7222e-05,2.7222e-05
68,136.535,1.0208,1.74302,1.37658,0.81631,0.48619,0.60047,0.3329,1.68833,1.8868,1.44865,2.68451e-05,2.68451e-05,2.68451e-05
69,138.445,0.61234,1.11311,1.10451,0.83455,0.48372,0.55655,0.29771,1.70461,1.9464,1.44039,2.64447e-05,2.64447e-05,2.64447e-05
70,140.237,1.04599,0.88653,1.48399,0.83455,0.48372,0.55655,0.29771,1.70461,1.9464,1.44039,2.60207e-05,2.60207e-05,2.60207e-05
71,141.969,0.95001,1.26564,1.32579,0.83455,0.48372,0.55655,0.29771,1.70461,1.9464,1.44039,2.55731e-05,2.55731e-05,2.55731e-05
72,143.75,0.6056,0.64402,1.09309,0.83222,0.47628,0.55703,0.29433,1.7817,1.99117,1.47304,2.5102e-05,2.5102e-05,2.5102e-05
73,145.729,0.69002,0.93424,1.05028,0.83222,0.47628,0.55703,0.29433,1.7817,1.99117,1.47304,2.46073e-05,2.46073e-05,2.46073e-05
74,147.477,0.79586,0.63542,1.24702,0.83222,0.47628,0.55703,0.29433,1.7817,1.99117,1.47304,2.40891e-05,2.40891e-05,2.40891e-05
75,149.264,0.71102,0.54775,1.13225,0.82634,0.47033,0.57222,0.2859,1.83647,1.98984,1.49198,2.35472e-05,2.35472e-05,2.35472e-05
76,150.993,0.63428,0.74112,1.12577,0.82634,0.47033,0.57222,0.2859,1.83647,1.98984,1.49198,2.29819e-05,2.29819e-05,2.29819e-05
77,152.728,0.6963,0.65283,1.12678,0.82634,0.47033,0.57222,0.2859,1.83647,1.98984,1.49198,2.23929e-05,2.23929e-05,2.23929e-05
78,154.507,0.88161,1.01974,1.20175,0.84105,0.46667,0.59897,0.29113,1.82291,2.01899,1.4913,2.17805e-05,2.17805e-05,2.17805e-05
79,156.218,0.58818,0.82579,1.09413,0.84105,0.46667,0.59897,0.29113,1.82291,2.01899,1.4913,2.11444e-05,2.11444e-05,2.11444e-05
80,157.957,0.76179,0.74267,1.22162,0.84105,0.46667,0.59897,0.29113,1.82291,2.01899,1.4913,2.04848e-05,2.04848e-05,2.04848e-05
81,159.726,0.52872,0.5156,0.9847,0.82605,0.4684,0.57341,0.28797,1.86216,2.04484,1.53705,1.98016e-05,1.98016e-05,1.98016e-05
82,161.489,0.80394,0.67686,1.14069,0.82605,0.4684,0.57341,0.28797,1.86216,2.04484,1.53705,1.90949e-05,1.90949e-05,1.90949e-05
83,163.226,0.82388,0.8722,1.23903,0.82605,0.4684,0.57341,0.28797,1.86216,2.04484,1.53705,1.83646e-05,1.83646e-05,1.83646e-05
84,165.007,0.78667,0.56652,1.20653,0.82852,0.48207,0.60052,0.3006,1.85755,2.075,1.53698,1.76107e-05,1.76107e-05,1.76107e-05
85,166.713,0.5867,0.74956,1.12024,0.82852,0.48207,0.60052,0.3006,1.85755,2.075,1.53698,1.68333e-05,1.68333e-05,1.68333e-05
86,168.451,0.76772,0.66151,1.11747,0.82852,0.48207,0.60052,0.3006,1.85755,2.075,1.53698,1.60323e-05,1.60323e-05,1.60323e-05
87,170.184,0.76442,0.80328,1.0682,0.82852,0.48207,0.60052,0.3006,1.85755,2.075,1.53698,1.52077e-05,1.52077e-05,1.52077e-05
88,171.985,0.82824,0.86755,1.40979,0.83884,0.47794,0.525,0.27759,1.86455,2.08865,1.52209,1.43596e-05,1.43596e-05,1.43596e-05
89,173.782,0.96998,0.96414,1.46079,0.83884,0.47794,0.525,0.27759,1.86455,2.08865,1.52209,1.34879e-05,1.34879e-05,1.34879e-05
90,175.567,0.64207,0.62511,0.99898,0.83884,0.47794,0.525,0.27759,1.86455,2.08865,1.52209,1.25927e-05,1.25927e-05,1.25927e-05
91,177.488,0.47073,0.51776,0.89474,0.83884,0.47794,0.525,0.27759,1.86455,2.08865,1.52209,1.16739e-05,1.16739e-05,1.16739e-05
92,179.252,0.69944,0.67912,0.97923,0.81558,0.4863,0.53887,0.28199,1.85615,2.01781,1.50261,1.07315e-05,1.07315e-05,1.07315e-05
93,181.137,0.4837,0.46405,0.99533,0.81558,0.4863,0.53887,0.28199,1.85615,2.01781,1.50261,9.76562e-06,9.76562e-06,9.76562e-06
94,182.864,0.55111,0.47437,0.88744,0.81558,0.4863,0.53887,0.28199,1.85615,2.01781,1.50261,8.77613e-06,8.77613e-06,8.77613e-06
95,184.583,0.43794,0.45983,0.90517,0.81558,0.4863,0.53887,0.28199,1.85615,2.01781,1.50261,7.76308e-06,7.76308e-06,7.76308e-06
96,186.346,0.46207,0.51133,0.97422,0.83566,0.46668,0.54324,0.31117,1.86835,2.01473,1.49838,6.72648e-06,6.72648e-06,6.72648e-06
97,188.068,0.70661,0.63608,1.06869,0.83566,0.46668,0.54324,0.31117,1.86835,2.01473,1.49838,5.6663e-06,5.6663e-06,5.6663e-06
98,190.313,0.52301,0.4874,0.91349,0.83566,0.46668,0.54324,0.31117,1.86835,2.01473,1.49838,4.58257e-06,4.58257e-06,4.58257e-06
99,192.001,0.48174,0.46914,0.91095,0.83566,0.46668,0.54324,0.31117,1.86835,2.01473,1.49838,3.47528e-06,3.47528e-06,3.47528e-06
100,193.828,0.55997,0.51632,1.02384,0.83167,0.46667,0.57753,0.3551,1.80232,1.84686,1.47151,2.34442e-06,2.34442e-06,2.34442e-06
